영역,헌법
책형,나 책형
문번,정답
1,
,4
2,
,2
3,
,4
4,
,3
5,
,2
6,
,1
7,
,1
8,
,4
9,
,2
10,
,3
11,
,3
12,
,2
13,
,3
14,
,4
15,
,2
16,
,4
17,
,4
18,
,2
19,
,4
20,
,1
문번,정답
21,
,1
22,
,3
23,
,2
24,
,1
25,
,3
영역,헌법
책형,라 책형
문번,정답
1,
,3
2,
,2
3,
,3
4,
,4
5,
,2
6,
,4
7,
,4
8,
,2
9,
,4
10,
,1
11,
,4
12,
,2
13,
,4
14,
,3
15,
,2
16,
,1
17,
,1
18,
,4
19,
,2
20,
,3
문번,정답
21,
,1
22,
,3
23,
,2
24,
,1
25,
,3
영역,언어논리영역
책형,나 책형
문번,정답
1,5
2,5
3,3
4,4
5,4
6,4
7,3
8,3
9,5
10,2
11,4
12,3
13,2
14,1
15,4
16,1
17,5
18,4
19,2
20,4
문번,정답
21,1
22,2
23,5
24,5
25,1
26,5
27,3
28,4
29,5
30,4
31,5
32,3
33,2
34,4
35,1
36,5
37,1
38,2
39,2
40,1
영역,언어논리영역
책형,라 책형
문번,정답
1,1
2,2
3,5
4,5
5,1
6,5
7,3
8,4
9,5
10,4
11,5
12,3
13,2
14,4
15,1
16,5
17,1
18,2
19,2
20,1
문번,정답
21,5
22,5
23,3
24,4
25,4
26,4
27,3
28,3
29,5
30,2
31,4
32,3
33,2
34,1
35,4
36,1
37,5
38,4
39,2
40,4
영역,자료해석영역
책형,나 책형
문번,정답
1,
,2
2,
,2
3,
,4
4,
,1
5,
,4
6,
,1
7,
,2
8,
,1
9,
,3
10,
,4
11,
,5
12,
,5
13,
,3
14,
,1
15,
,3
16,
,1
17,
,1
18,
,3
19,
,5
20,
,4
문번,정답
21,
,2
22,
,4
23,
,4
24,
,3
25,
,4
26,
,5
27,
,5
28,
,3
29,
,2
30,
,1
31,
,2
32,
,4
33,
,1
34,
,4
35,
,5
36,
,5
37,
,2
38,
,3
39,
,5
40,
,5
영역,자료해석영역
책형,라 책형
문번,정답
1,
,2
2,
,4
3,
,4
4,
,3
5,
,4
6,
,5
7,
,5
8,
,3
9,
,2
10,
,1
11,
,2
12,
,4
13,
,1
14,
,4
15,
,5
16,
,5
17,
,2
18,
,3
19,
,5
20,
,5
문번,정답
21,
,2
22,
,2
23,
,4
24,
,1
25,
,4
26,
,1
27,
,2
28,
,1
29,
,3
30,
,4
31,
,5
32,
,5
33,
,3
34,
,1
35,
,3
36,
,1
37,
,1
38,
,3
39,
,5
40,
,4
영역,상황판단영역
책형,나 책형
문번,정답
1,
,4
2,
,3
3,
,2
4,
,1
5,
,4
6,
,2
7,
,1
8,
,4
9,
,5
10,
,1
11,
,4
12,
,2
13,
,3
14,
,5
15,
,5
16,
,3
17,
,3
18,
,4
19,
,4
20,
,1
문번,정답
21,
,3
22,
,5
23,
,1
24,
,2
25,
,5
26,
,4
27,
,3
28,
,5
29,
,2
30,
,3
31,
,4
32,
,1
33,
,1
34,
,5
35,
,2
36,
,2
37,
,5
38,
,4
39,
,5
40,
,3
영역,상황판단영역
책형,라 책형
문번,정답
1,
,3
2,
,5
3,
,1
4,
,2
5,
,5
6,
,4
7,
,3
8,
,5
9,
,2
10,
,3
11,
,4
12,
,1
13,
,1
14,
,5
15,
,2
16,
,2
17,
,5
18,
,4
19,
,5
20,
,3
문번,정답
21,
,4
22,
,3
23,
,2
24,
,1
25,
,4
26,
,2
27,
,1
28,
,4
29,
,5
30,
,1
31,
,4
32,
,2
33,
,3
34,
,5
35,
,5
36,
,3
37,
,3
38,
,4
39,
,4
40,
,1
