연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
1,건축계획학,가,4,1,3,4,1,4,1,2,2,4,2,3,2,1,2,4,4,2,2,4,3,2,1,3,3
2,건축구조학,가,1,2,2,4,4,1,4,3,3,3,1,2,2,1,2,4,3,1,4,2,4,4,3,1,3
3,건축시공학,가,4,2,3,2,4,4,3,3,3,1,4,1,4,2,4,2,2,1,3,2,1,1,4,2,1
4,경영학,가,1,1,2,4,4,3,4,3,1,4,4,3,2,4,2,2,2,3,1,3,1,3,3,2,3
5,경제학,가,4,1,4,4,3,3,3,2,4,2,1,4,2,1,3,3,2,1,4,4,2,2,1,3,4
6,공직선거법,가,3,1,3,2,3,4,4,3,1,3,3,1,4,4,1,1,1,2,2,1,4,3,4,4,2
7,관세법,가,4,1,1,1,2,4,2,1,3,2,3,2,3,4,3,3,2,2,2,4,1,4,3,4,3
8,교육학,가,3,2,4,2,2,2,4,3,2,3,2,1,4,3,1,4,2,2,4,1,4,3,1,3,1
9,교정학,가,3,3,4,1,3,3,4,2,1,2,4,4,3,3,3,3,2,4,1,4,4,2,1,2,2
10,국제법,가,2,4,2,1,1,3,3,2,2,4,4,3,4,1,2,2,3,2,4,3,3,1,1,3,2
11,국제정치학,가,4,1,2,1,2,4,1,4,4,3,4,1,3,2,1,3,2,3,2,1,4,1,3,4,3
12,기계공작법,가,1,4,1,3,3,2,1,2,4,2,3,3,4,4,4,2,2,3,1,4,2,4,3,3,1
13,기계설계,가,1,4,2,2,2,4,3,3,3,4,3,3,4,3,2,1,1,4,2,1,1,1,2,1,2
14,노동법,가,4,3,1,1,3,3,3,2,3,2,2,4,4,1,4,3,1,3,2,4,4,4,2,1,1
15,데이터베이스론,가,3,4,3,3,4,1,3,2,2,1,4,4,2,4,1,3,1,2,2,1,2,4,2,3,2
16,도시계획,가,1,3,4,1,2,3,3,2,1,2,1,3,2,3,1,4,4,4,4,3,1,3,3,4,4
17,독어,가,1,1,4,2,1,2,2,2,3,4,3,1,1,3,1,2,3,4,3,4,4,4,2,3,2
18,러시아어,가,4,1,3,4,3,1,4,1,3,2,4,3,2,2,2,4,3,1,4,2,3,3,3,2,4
19,무역학,가,2,4,3,2,4,2,2,1,3,3,4,4,3,1,1,2,3,4,1,4,3,1,2,4,2
20,물리학개론,가,2,1,1,4,3,3,4,4,1,4,1,2,1,2,2,3,2,3,4,4,2,4,2,2,3
21,반응공학,가,2,2,2,3,3,2,4,1,4,3,3,1,2,3,1,1,2,4,1,3,4,3,2,4,2
22,방재관계법규,가,1,4,2,1,3,2,1,2,3,3,4,4,3,4,3,1,4,1,2,3,3,2,2,3,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
23,불어,가,2,1,4,3,4,1,4,2,1,2,4,2,3,4,3,2,4,3,3,2,2,4,1,3,3
24,생물학개론,가,3,4,4,2,2,3,3,3,1,4,2,4,3,4,1,2,4,3,2,1,2,3,1,1,2
25,세법,가,2,4,3,1,1,1,3,1,3,1,1,2,2,4,4,3,2,3,1,3,2,4,3,2,4
26,소프트웨어공학,가,1,3,2,1,1,4,2,3,4,4,2,3,1,4,4,2,3,3,1,2,4,2,3,4,2
27,수리수문학,가,3,4,1,2,3,4,3,2,1,3,2,1,2,4,4,1,2,1,4,1,2,4,3,4,3
28,스페인어,가,1,4,4,2,3,4,2,1,4,1,3,3,4,3,2,3,1,1,2,3,2,2,4,3,3
29,식용작물학,가,4,3,2,3,3,4,2,3,4,4,4,1,2,1,2,2,3,3,1,2,4,4,2,4,1
30,심리학,가,2,1,4,2,1,1,2,4,4,2,2,1,1,2,3,3,1,3,2,3,4,4,4,3,2
31,안전관리론,가,4,2,3,2,4,3,4,3,3,4,1,2,2,1,4,1,1,3,4,4,3,4,2,3,3
32,알고리즘,가,2,2,3,2,1,3,3,1,4,2,4,1,3,4,1,4,2,2,1,3,4,2,4,1,4
33,응용역학,가,4,2,3,2,1,3,4,3,1,2,4,3,1,2,3,3,1,4,2,1,2,4,3,4,4
34,인공지능,가,1,4,3,4,1,3,4,2,1,2,3,2,4,2,4,2,1,2,3,2,3,1,2,3,1
35,인사·조직론,가,2,4,2,4,2,1,3,3,4,3,4,3,1,4,2,3,4,1,3,1,4,2,1,1,2
36,일어,가,4,4,2,2,3,2,2,3,4,1,4,2,4,4,1,3,1,4,1,2,3,2,1,3,2
37,임업경영학,가,4,1,3,1,4,2,2,1,4,1,3,2,3,2,3,1,2,2,3,4,3,4,1,3,1
38,자동제어,가,4,2,1,3,4,1,3,3,3,2,1,1,4,1,2,4,3,1,3,3,3,2,4,4,4
