문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,3,2,2,2,2,2,2,2,2
정 답,⑤,②,①,⑤,③,①,④,④,②,③
문항,11,12,13,14,15,16,17,18,19,20
배 점,3,3,2,2,2,3,2,2,2,2
정 답,④,②,②,③,④,①,③,③,③,④
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,2,2,2,2,2,2,3,2
정 답,②,⑤,①,④,①,⑤,①,⑤,⑤,②
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,3,3,2,2,2,2,2,2,3
정 답,④,③,③,③,④,⑤,②,①,②,④
문항,41,42,43,44,45,,,,,
배 점,2,3,2,3,2,,,,,
정 답,①,③,③,④,⑤,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,2,2,2,3
정 답,②,⑤,①,①,⑤,④,④,⑤,③,④
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,3,2,3,2,2,2,3,2
정 답,③,③,①,③,④,②,④,①,⑤,①
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,3,2,3,3,2,2,2,2
정 답,②,③,②,⑤,①,③,②,②,⑤,③
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,2,2,3,2,2,2,2,3
정 답,②,①,④,①,④,④,③,⑤,⑤,④
문항,41,42,43,44,45,,,,,
배 점,2,2,3,2,2,,,,,
정 답,⑤,②,②,①,③,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,②,①,④,④,③,③,⑤,①,④,②
문항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,⑤,③,③,①,④,②,②,⑤,⑤,③
문항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,2,4,202,17,23,,,,,
