문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,②,③,⑤,③,③,①,②,②,⑤,④,④,④,⑤,③,①,④,⑤,①,⑤,⑤
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,②,④,⑤,⑤,②,⑤,④,④,②,①,①,③,④,③,③,①,①,②,④,①
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,⑤,①,④,③,②,③,③,②,④,④,④,①,③,①,④,①,①,①,⑤,④
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,③,②,①,②,⑤,④,③,④,⑤,⑤,⑤,②,②,③,②,④,②,⑤,①,⑤
문항,41,42,43,44,45,,,,,,,,,,,,,,,
정답,③,③,②,①,④,,,,,,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정
답,②,④,②,①,②,①,②,⑤,②,③,③,③,④,②,③,①,⑤,④,⑤,④
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정
답,⑤,③,①,④,16,256,228,11,142,59,,,,,,,,,,
