문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,3,2,3,2,2,2,2
정 답,③,⑤,②,③,④,③,⑤,①,③,①
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,2,3,2,2,2,2,3,2
정 답,⑤,④,③,③,⑤,⑤,③,②,②,④
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,3,2,2,2,2,2,3,2,2
정 답,④,④,②,②,③,④,③,⑤,①,③
문 항,31,32,33,34,35,36,37,38,39,40
배 점,3,2,2,2,2,3,2,2,3,2
정 답,⑤,③,④,①,⑤,③,④,①,①,①
문항,41,42,43,44,45,,,,,
배 점,2,2,2,2,3,,,,,
정 답,⑤,②,③,①,②,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,3,2,3,2
정 답,④,⑤,④,①,②,④,⑤,③,④,⑤
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,3,2,2,2,2,2,2,2,3
정 답,③,⑤,⑤,③,⑤,⑤,①,②,⑤,②
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,3,2,2,3,2,3,2,2
정 답,④,①,③,②,①,④,②,①,②,⑤
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,3,2,2,3,2,2,2,2,2
정 답,③,④,①,①,③,④,③,④,②,②
문항,41,42,43,44,45,,,,,
배 점,3,2,2,2,2,,,,,
정 답,⑤,①,③,③,③,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,②,④,⑤,④,④,③,②,②,⑤,⑤
문항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,①,④,⑤,③,①,⑤,①,②,①,③
문항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,7,13,172,3,40,,,,,
