연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,가,1,4,2,2,3,2,2,1,1,4,3,4,2,3,1,4,2,3,3,1
2,건축구조,가,2,4,3,3,1,4,3,2,1,1,2,4,4,3,4,2,1,2,3,4
3,경제학개론,가,4,2,4,4,4,4,3,1,2,2,2,1,2,1,3,4,3,4,2,1
4,공업화학,가,2,4,1,3,1,4,4,2,1,4,3,4,2,3,4,2,1,1,3,2
5,공직선거법,가,4,1,4,3,1,3,4,2,4,2,2,3,3,2,4,4,2,2,4,1
6,과학,가,3,3,2,1,4,3,1,4,3,2,1,2,1,2,3,3,3,4,4,2
7,관세법개론,가,4,3,2,4,4,3,4,1,1,2,2,4,2,2,3,4,1,4,3,1
8,교육학개론,가,2,1,2,3,2,3,1,4,1,4,4,4,3,2,1,3,1,3,3,4
9,교정학개론,가,1,4,1,3,1,1,3,2,4,3,2,4,1,2,4,4,1,3,4,3
10,국어,가,3,1,4,4,2,1,2,3,4,4,2,1,2,3,3,2,1,3,4,3
11,국제법개론,가,3,2,1,3,3,1,1,4,2,1,4,1,3,4,2,2,4,1,4,3
12,기계설계,가,3,4,2,2,1,1,1,4,4,4,2,2,2,3,2,3,4,1,4,1
13,기계일반,가,4,3,3,1,4,4,2,1,3,3,3,3,2,4,2,2,1,2,2,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,네트워크 보안,가,3,2,2,4,2,3,1,4,3,4,1,4,3,4,3,3,3,2,1,1
15,노동법개론,가,4,1,2,4,1,1,2,3,4,4,4,3,4,2,2,4,1,1,3,1
16,무선공학개론,가,3,3,2,3,1,4,2,4,3,2,2,3,1,4,4,1,3,2,2,1
17,사회,가,3,2,4,4,2,2,3,3,3,1,1,2,2,2,4,3,2,4,3,1
18,사회복지학개론,가,4,1,2,2,4,2,3,1,3,2,3,1,2,1,3,4,4,4,3,3
19,세법개론,가,4,4,2,1,2,3,1,4,4,4,3,2,4,1,3,2,2,1,3,2
20,수학,가,2,1,2,3,3,1,4,2,3,4,2,2,2,3,3,1,3,4,4,1
21,식용작물,가,4,3,1,3,4,1,2,1,4,3,2,2,1,1,4,1,2,3,4,2
22,안전관리론,가,1,3,1,4,2,4,2,4,1,4,2,3,3,4,4,4,3,2,3,1
23,영어,가,1,4,3,1,4,2,3,2,1,4,4,3,2,3,3,4,4,3,1,2
24,응용역학개론,가,4,2,3,4,3,2,1,3,2,2,1,2,1,3,4,3,3,1,4,4
25,임업경영,가,3,4,4,1,1,3,4,3,2,2,4,1,2,4,2,1,3,3,4,1
26,재난관리론,가,1,3,4,1,2,3,1,1,4,3,3,2,4,2,4,2,3,1,2,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
27,재배학개론,가,1,1,3,4,1,3,1,1,4,3,2,4,3,2,4,2,2,2,3,3
28,전기기기,가,4,1,4,1,1,4,2,3,3,1,3,4,3,2,2,4,2,1,3,1
29,전기이론,가,1,2,1,4,2,3,1,3,2,4,2,3,3,2,1,4,1,3,4,1
30,전자공학개론,가,4,1,1,4,3,1,4,3,2,3,1,2,1,3,2,4,3,3,2,3
31,정보보호론,가,2,3,4,1,1,3,4,4,2,3,4,4,1,3,1,1,2,2,1,2
32,정보시스템 보안,가,4,2,1,3,2,1,2,1,3,4,2,1,4,4,3,4,2,3,1,2
33,조경계획 및 설계,가,3,2,2,3,4,1,2,2,3,1,4,1,1,2,1,4,1,3,3,2
34,조경학,가,1,3,3,4,4,2,1,4,2,2,3,1,2,2,1,2,1,4,2,1
35,조림,가,2,3,4,1,2,3,3,1,4,1,4,3,1,2,4,1,2,4,4,2
36,직업상담·심리학개론,가,4,2,3,1,2,3,4,2,1,2,4,1,3,4,3,3,1,1,4,3
37,컴퓨터일반,가,1,3,3,2,3,4,4,1,3,4,2,4,2,4,2,1,4,1,3,2
38,토목설계,가,4,2,1,3,2,4,2,3,4,2,1,2,3,1,3,2,3,4,2,1
39,통계학개론,가,4,2,2,3,2,2,1,3,1,4,4,3,2,1,4,3,4,3,1,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
40,한국사,가,3,4,3,2,4,2,1,4,3,4,3,1,2,1,3,2,2,4,3,4
41,행정법총론,가,4,1,2,2,3,1,1,1,4,2,1,4,3,1,2,4,2,3,2,3
42,행정학개론,가,1,4,2,1,2,3,4,1,3,3,4,1,2,2,3,4,3,3,4,1
43,형법,가,4,3,2,4,3,1,3,1,4,1,3,2,3,4,2,4,1,1,2,3
44,형법총론,가,3,4,4,4,3,1,2,4,1,4,3,2,2,3,1,2,1,3,1,3
45,형사소송법,가,2,4,4,1,2,3,3,3,3,2,4,3,1,4,4,1,3,2,4,4
46,형사소송법개론,가,2,4,3,1,2,3,1,3,3,2,4,3,1,4,4,1,3,2,4,4
47,화학공학일반,가,2,1,4,4,4,2,3,4,3,1,3,4,2,2,3,2,2,1,1,3
48,회계원리,가,2,1,2,4,4,4,4,2,3,1,2,3,4,3,3,1,2,3,1,3
49,회계학,가,4,1,2,2,1,2,1,4,3,3,2,4,3,1,3,4,1,4,4,3
