문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,④,③,④,③,③,①,②,②,②,④,③,②,⑤,②,④,③,①,⑤,②,④
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,⑤,③,②,④,⑤,①,①,③,⑤,⑤,①,⑤,③,⑤,③,①,②,④,①,①
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,①,②,④,⑤,⑤,④,④,④,③,①,②,③,⑤,①,①,⑤,①,④,③,①
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,⑤,⑤,③,②,②,④,③,②,②,④,①,⑤,⑤,④,①,④,③,③,③,②
문항,41,42,43,44,45,,,,,,,,,,,,,,,
정답,⑤,②,④,①,②,,,,,,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,⑤,①,⑤,③,①,③,④,②,④,③,②,②,④,④,④,②,⑤,②,①,⑤
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,①,③,①,③,16,101,362,75,288,22,,,,,,,,,,
