문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,3,2,2,3
정 답,②,③,①,②,②,①,④,③,②,③
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,2,3,2,2,2,2,3,2
정 답,①,⑤,⑤,③,④,⑤,⑤,②,③,④
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,3,2,2,2,2,2,3,2,2
정 답,④,①,③,①,②,③,⑤,②,③,③
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,3,2,2,2,2,3,2,2,3
정 답,⑤,②,①,④,⑤,④,①,⑤,③,⑤
문항,41,42,43,44,45,,,,,
배 점,2,2,2,2,3,,,,,
정 답,①,④,④,④,⑤,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,2,2,2,2
정 답,②,③,②,③,④,③,⑤,①,①,③
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,3,2,2,3,2,3,2,2
정 답,⑤,④,⑤,①,③,⑤,②,⑤,③,④
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,2,3,2,3,2,3,3,2
정 답,①,④,②,①,①,②,①,⑤,③,①
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,3,2,3,2,2,2,2,2
정 답,②,②,③,④,①,⑤,⑤,④,④,①
문항,41,42,43,44,45,,,,,
배 점,2,3,2,2,2,,,,,
정 답,③,④,③,④,③,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,⑤,②,①,③,④,①,③,③,①,②
문항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,⑤,①,④,③,②,③,①,②,④,⑤
문항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,,,,,,,,,,
