문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,3,2,2,2,3,2
정 답,④,⑤,⑤,①,④,⑤,②,③,②,①
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,3,2,2,2,2,2,3,2,2
정 답,⑤,③,③,②,④,②,④,④,③,⑤
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,3,2,3,2,2,2,2,2
정 답,④,①,④,②,⑤,①,③,②,②,③
문 항,31,32,33,34,35,36,37,38,39,40
배 점,3,2,2,3,2,2,2,2,2,3
정 답,⑤,①,③,⑤,①,②,③,④,③,③
문항,41,42,43,44,45,,,,,
배 점,2,2,3,2,2,,,,,
정 답,①,⑤,②,④,①,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,２,２,２,２,２,２,２,３,２,２
정 답,④,②,①,⑤,⑤,⑤,③,①,③,⑤
문항,11,12,13,14,15,16,17,18,19,20
배 점,２,２,３,２,２,２,３,２,２,３
정 답,④,②,①,④,③,④,⑤,⑤,③,②
문항,21,22,23,24,25,26,27,28,29,30
배 점,２,３,２,２,２,２,２,２,２,３
정 답,③,②,②,①,①,②,③,②,①,②
문 항,31,32,33,34,35,36,37,38,39,40
배 점,２,３,２,２,２,２,２,３,３,２
정 답,③,①,③,④,④,③,⑤,⑤,②,①
문항,41,42,43,44,45,,,,,
배 점,２,２,３,２,２,,,,,
정 답,④,③,④,②,①,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,①,④,③,⑤,①,③,④,⑤,⑤,③
문항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,②,④,②,③,③,①,①,②,④,②
문항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,146,250,7,14,34,,,,,
