문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,3,2,2,2,2,2,2,3
정 답,②,⑤,④,①,③,①,②,⑤,②,③
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,3,2,2,2,2,2,3,2,2
정 답,①,②,⑤,②,④,④,③,⑤,⑤,②
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,2,2,3,2,2,2,3,3
정 답,④,⑤,③,④,③,②,④,①,⑤,②
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,2,2,3,2,2,2,2,3
정 답,①,①,②,⑤,④,②,②,⑤,③,③
문항,41,42,43,44,45,,,,,
배 점,2,2,3,2,2,,,,,
정 답,④,③,①,①,③,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,2,2,3,2
정 답,2,1,2,1,5,3,5,1,2,4
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,3,3,2,2,2,2,3,2,2
정 답,3,3,3,4,4,5,4,2,5,5
문항,21,22,23,24,25,26,27,28,29,30
배 점,3,3,2,2,2,2,2,2,2,3
정 답,1,3,1,2,5,2,3,4,4,3
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,2,2,2,3,2,3,2,2
정 답,4,2,4,3,3,3,5,4,1,1
문항,41,42,43,44,45,,,,,
배 점,2,3,2,2,2,,,,,
정 답,5,1,4,2,5,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,②,⑤,⑤,②,③,①,①,④,①,②
문 항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,①,④,③,④,②,③,③,②,①,⑤
문 항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,4,31,9,118,78,,,,,
