연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,간호관리,Ⓐ,4,1,2,1,3,2,4,4,4,2,4,3,3,2,3,2,3,3,1,3
2,건축계획,Ⓐ,1,3,1,4,4,3,1,3,4,3,2,1,2,2,4,1,3,2,3,2
3,건축구조,Ⓐ,4,3,1,3,3,1,3,2,2,4,1,4,2,4,2,3,3,1,1,3
4,과학,Ⓐ,3,2,1,1,4,3,2,1,4,2,4,1,3,3,2,4,2,1,2,3
5,교육학개론,Ⓐ,3,4,2,3,3,2,2,1,1,4,3,1,3,1,4,4,3,1,1,2
6,국어,Ⓐ,2,3,정답
없음,2,4,3,3,3,1,4,4,2,2,3,1,1,4,3,4,4
7,기계설계,Ⓐ,3,4,1,2,2,3,2,3,4,4,2,2,3,1,1,3,3,1,2,4
8,기계일반,Ⓐ,2,4,2,3,2,3,1,2,1,4,1,3,2,3,3,4,2,4,4,1
9,사회,Ⓐ,1,4,2,2,3,1,1,3,3,4,3,2,3,1,1,3,4,1,4,4
10,수학,Ⓐ,2,1,2,3,1,1,4,4,4,3,1,3,2,2,3,2,3,1,4,2
11,영어,Ⓐ,4,3,1,2,4,4,2,2,4,1,1,3,2,2,3,2,4,1,3,2
12,응용역학개론,Ⓐ,1,4,4,1,2,3,1,4,2,2,3,2,1,3,3,2,3,1,2,4
13,자료조직개론,Ⓐ,2,4,3,1,2,2,1,4,3,1,4,2,4,2,3,3,2,2,4,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,전기기기,Ⓐ,2,2,2,3,1,1,4,3,2,4,3,2,3,1,3,4,2,4,4,3
15,전기이론,Ⓐ,1,2,3,1,3,2,4,4,4,2,4,2,3,2,4,2,1,2,3,4
16,정보보호론,Ⓐ,1,3,4,3,1,2,1,4,1,3,4,2,3,2,3,4,2,2,4,4
17,정보봉사개론,Ⓐ,4,1,4,4,1,1,2,4,3,4,3,1,2,3,4,1,3,2,2,1
18,지역사회간호,Ⓐ,3,1,1,1,3,4,2,3,4,4,2,4,3,2,3,1,1,2,2,3
19,컴퓨터일반,Ⓐ,2,3,1,1,3,4,2,3,4,1,2,2,2,4,1,3,4,4,1,4
20,토목설계,Ⓐ,2,4,4,3,3,2,3,1,2,4,1,2,1,4,4,4,1,3,4,2
21,한국사,Ⓐ,3,1,4,1,1,2,3,3,3,4,2,2,3,2,2,3,4,4,1,2
22,행정법총론,Ⓐ,4,1,3,3,1,4,2,2,3,4,3,2,4,2,3,2,2,3,2,1
23,행정학개론
(지방행정 포함),Ⓐ,1,2,4,1,3,2,3,1,4,2,4,2,2,1,2,3,4,3,1,4
