문항(배점),1(2),2(3),3(2),4(2),5(2),6(3),7(3),8(2),9(2),10(3)
정답,2,5,2,3,1,3,5,3,1,4
문항(배점),11(2),12(2),13(2),14(2),15(2),16(3),17(2),18(2),19(2),20(2)
정답,1,5,5,1,5,3,2,1,3,2
문항(배점),21(2),22(3),23(2),24(2),25(2),26(2),27(3),28(2),29(2),30(2)
정답,3,1,4,5,2,4,3,5,1,5
문항(배점),31(3),32(2),33(2),34(2),35(3),36(2),37(2),38(2),39(2),40(2)
정답,4,3,3,1,2,4,2,2,4,4
문항(배점),41(2),42(2),43(2),44(2),45(3),,,,,
정답,3,2,4,3,4,,,,,
문항(배점),1(2),2(2),3(2),4(2),5(2),6(2),7(2),8(3),9(2),10(2)
정답,3,2,4,3,1,3,5,5,3,4
문항(배점),11(3),12(3),13(2),14(2),15(2),16(2),17(2),18(3),19(2),20(3)
정답,4,1,4,4,5,4,3,1,2,1
문항(배점),21(2),22(3),23(2),24(2),25(3),26(2),27(2),28(2),29(2),30(2)
정답,3,2,1,4,2,3,1,1,2,2
문항(배점),31(3),32(2),33(2),34(2),35(3),36(2),37(2),38(2),39(2),40(2)
정답,1,4,5,5,2,5,2,3,5,1
문항(배점),41(2),42(2),43(2),44(2),45(3),,,,,
정답,5,4,5,3,1,,,,,
문항(배점),1(3),2(3),3(3),4(3),5(4),6(4),7(4),8(4),9(4),10(4)
정답,④,③,④,①,①,④,①,⑤,③,②
문항(배점),11(4),12(4),13(4),14(4),15(4),16(4),17(5),18(5),19(5),20(5)
정답,⑤,③,②,④,⑤,②,①,②,②,④
문항(배점),21(3),22(4),23(4),24(4),25(5),,,,,
정답,36,393,130,19,720,,,,,
