연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,나,4,2,2,3,3,2,4,2,1,4,3,2,3,3,1,4,1,4,1,3
,,라,4,2,3,3,3,3,4,2,4,4,3,2,2,3,1,1,1,4,4,3
2,건축구조,나,1,2,2,2,3,3,1,4,1,4,1,2,4,4,3,3,4,2,1,2
,,라,1,2,3,2,3,2,1,4,4,4,1,2,1,4,3,2,4,2,4,2
3,경제학개론,나,3,4,3,3,1,2,4,2,1,4,2,4,4,2,2,4,4,1,1,2
,,라,3,4,2,3,1,3,4,2,4,4,2,4,1,2,2,1,4,1,4,2
4,공업화학,나,1,3,4,4,2,2,2,4,2,1,1,4,4,2,2,1,4,2,3,3
,,라,1,3,1,4,2,3,2,4,3,1,1,4,1,2,2,4,4,2,2,3
5,공직선거법,나,2,2,2,3,3,4,3,1,4,1,4,3,1,3,1,1,2,3,4,2
,,라,2,2,3,3,3,1,3,1,1,1,4,3,4,3,1,4,2,3,1,2
6,과학,나,2,4,1,3,2,3,1,2,2,4,2,3,1,4,3,1,1,2,4,3
,,라,2,4,4,3,2,2,1,2,3,4,2,3,4,4,3,4,1,2,1,3
7,관세법개론,나,4,2,3,1,1,1,4,3,3,4,2,3,2,4,2,4,4,4,3,3
,,라,4,2,2,1,1,4,4,3,2,4,2,3,3,4,2,1,4,4,2,3
8,교육학개론,나,3,4,2,2,2,4,3,4,4,1,1,3,1,4,3,2,1,2,3,4
,,라,3,4,3,2,2,1,3,4,1,1,1,3,4,4,3,3,1,2,2,4
9,교정학개론,나,4,4,3,2,4,2,2,2,2,3,4,1,3,3,3,1,1,2,4,2
,,라,4,4,2,2,4,3,2,2,3,3,4,1,2,3,3,4,1,2,1,2
10,국어,나,2,1,3,4,1,4,4,1,4,2,3,2,3,4,3,3,1,4,2,3
,,라,2,1,2,4,1,1,4,1,1,2,3,2,2,4,3,2,1,4,3,3
11,국제법개론,나,2,1,4,4,3,3,3,4,2,3,2,1,3,2,4,3,1,4,4,1
,,라,2,1,1,4,3,2,3,4,3,3,2,1,2,2,4,2,1,4,1,1
12,기계설계,나,3,2,1,2,3,4,3,1,3,3,4,1,3,4,2,3,4,4,2,4
,,라,3,2,4,2,3,1,3,1,2,3,4,1,2,4,2,2,4,4,3,4
13,기계일반,나,4,2,2,4,3,1,3,1,1,1,3,1,4,2,3,3,1,4,3,4
,,라,4,2,3,4,3,4,3,1,4,1,3,1,1,2,3,2,1,4,2,4
14,노동법개론,나,4,1,1,2,3,4,2,1,1,2,3,3,2,4,3,2,2,1,3,3
,,라,4,1,4,2,3,1,2,1,4,2,3,3,3,4,3,3,2,1,2,3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
15,네트워크 보안,나,3,4,2,4,3,2,2,1,1,2,4,1,4,1,2,3,3,4,4,3
,,라,3,4,3,4,3,3,2,1,4,2,4,1,1,1,2,2,3,4,1,3
16,무선공학개론,나,2,3,3,2,2,4,1,2,2,4,3,4,1,3,2,3,4,1,2,1
,,라,2,3,2,2,2,1,1,2,3,4,3,4,4,3,2,2,4,1,3,1
17,사회,나,3,1,4,2,4,3,1,3,2,4,2,4,1,3,2,4,3,2,4,3
,,라,3,1,1,2,4,2,1,3,3,4,2,4,4,3,2,1,3,2,1,3
18,사회복지학개론,나,1,4,1,2,4,2,3,1,4,3,2,3,4,3,4,4,3,4,3,2
,,라,1,4,4,2,4,3,3,1,1,3,2,3,1,3,4,1,3,4,2,2
19,세법개론,나,3,4,3,1,4,2,3,4,2,3,1,4,4,2,1,2,4,3,4,2
,,라,3,4,2,1,4,3,3,4,3,3,1,4,1,2,1,3,4,3,1,2
20,수학,나,4,2,2,2,3,3,2,2,4,3,4,3,1,4,1,4,1,3,2,4
,,라,4,2,3,2,3,2,2,2,1,3,4,3,4,4,1,1,1,3,3,4
21,식용작물,나,2,3,1,1,1,4,3,1,4,2,2,4,1,3,4,1,2,3,4,1
,,라,2,3,4,1,1,1,3,1,1,2,2,4,4,3,4,4,2,3,1,1
22,안전관리론,나,2,1,3,4,4,4,4,2,3,1,3,3,1,2,4,2,1,2,2,1
,,라,2,1,2,4,4,1,4,2,2,1,3,3,4,2,4,3,1,2,3,1
23,영어,나,1,2,4,2,2,1,2,4,4,3,4,2,3,3,1,1,4,3,2,4
,,라,1,2,1,2,2,4,2,4,1,3,4,2,2,3,1,4,4,3,3,4
24,응용역학개론,나,4,3,3,1,1,2,4,1,2,2,4,1,3,2,1,3,2,3,2,1
,,라,4,3,2,1,1,3,4,1,3,2,4,1,2,2,1,2,2,3,3,1
25,임업경영,나,2,4,1,2,4,1,4,3,2,3,3,1,2,1,1,1,3,2,2,4
,,라,2,4,4,2,4,4,4,3,3,3,3,1,3,1,1,4,3,2,3,4
26,재난관리론,나,3,1,2,1,3,1,3,1,4,4,2,4,4,3,3,2,4,2,3,4
,,라,3,1,3,1,3,4,3,1,1,4,2,4,1,3,3,3,4,2,2,4
27,재배학개론,나,3,4,3,1,2,3,2,4,1,4,4,1,2,3,3,4,4,2,4,1
,,라,3,4,2,1,2,2,2,4,4,4,4,1,3,3,3,1,4,2,1,1
28,전기기기,나,3,4,4,3,2,4,4,2,3,3,1,4,1,1,3,1,1,3,2,4
,,라,3,4,1,3,2,1,4,2,2,3,1,4,4,1,3,4,1,3,3,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
29,전기이론,나,1,2,3,4,1,3,1,3,3,2,1,4,2,4,2,2,3,4,2,4
,,라,1,2,2,4,1,2,1,3,2,2,1,4,3,4,2,3,3,4,3,4
30,전자공학개론,나,3,3,1,2,4,3,3,2,2,3,4,1,4,2,2,1,1,1,3,4
,,라,3,3,4,2,4,2,3,2,3,3,4,1,1,2,2,4,1,1,2,4
31,정보보호론,나,2,3,4,2,3,3,2,2,1,4,2,4,2,1,1,4,3,3,3,1
,,라,2,3,1,2,3,2,2,2,4,4,2,4,3,1,1,1,3,3,2,1
32,정보시스템 보안,나,1,3,4,1,1,1,4,1,2,4,3,4,4,2,3,2,2,4,3,3
,,라,1,3,1,1,1,4,4,1,3,4,3,4,1,2,3,3,2,4,2,3
33,조림,나,4,1,1,4,2,3,4,3,2,2,4,3,1,3,2,2,1,3,2,1
,,라,4,1,4,4,2,2,4,3,3,2,4,3,4,3,2,3,1,3,3,1
34,직업상담·심리학개론,나,4,2,1,2,1,1,4,4,2,3,4,3,4,3,3,2,1,2,3,2
,,라,4,2,4,2,1,4,4,4,3,3,4,3,1,3,3,3,1,2,2,2
35,컴퓨터일반,나,2,4,2,4,1,1,3,3,1,1,3,2,3,3,1,4,1,4,4,4
,,라,2,4,3,4,1,4,3,3,4,1,3,2,2,3,1,1,1,4,1,4
36,토목설계,나,4,1,3,3,3,2,1,4,2,4,2,4,3,1,2,4,3,2,2,3
,,라,4,1,2,3,3,3,1,4,3,4,2,4,2,1,2,1,3,2,3,3
37,통계학개론,나,2,1,3,3,1,1,3,1,3,4,4,1,4,2,3,2,4,2,2,2
,,라,2,1,2,3,1,4,3,1,2,4,4,1,1,2,3,3,4,2,3,2
38,한국사,나,3,4,3,3,4,1,1,4,3,1,3,2,4,1,3,4,1,2,2,2
,,라,3,4,2,3,4,4,1,4,2,1,3,2,1,1,3,1,1,2,3,2
39,행정법총론,나,2,3,3,1,2,4,2,1,1,3,2,2,1,4,3,4,4,2,2,4
,,라,2,3,2,1,2,1,2,1,4,3,2,2,4,4,3,1,4,2,3,4
40,행정학개론,나,2,2,4,4,2,3,3,4,4,1,1,4,3,3,4,4,2,3,1,2
,,라,2,2,1,4,2,2,3,4,1,1,1,4,2,3,4,1,2,3,4,2
41,형법,나,3,4,4,2,4,1,4,2,3,3,4,1,1,3,3,2,3,4,4,2
,,라,3,4,1,2,4,4,4,2,2,3,4,1,4,3,3,3,3,4,1,2
42,형법총론,나,4,4,3,2,4,2,4,2,3,3,4,1,1,1,3,2,2,4,4,2
,,라,4,4,2,2,4,3,4,2,2,3,4,1,4,1,3,3,2,4,1,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
43,형사소송법,나,4,2,1,3,2,3,3,4,3,1,1,2,1,4,2,1,3,4,2,1
,,라,4,2,4,3,2,2,3,4,2,1,1,2,4,4,2,4,3,4,3,1
44,형사소송법개론,나,2,3,3,1,4,1,2,1,3,3,1,4,4,1,3,4,3,3,2,1
,,라,2,3,2,1,4,4,2,1,2,3,1,4,1,1,3,1,3,3,3,1
45,화학공학일반,나,3,2,1,1,3,4,4,2,4,1,3,1,1,2,3,1,1,4,3,2
,,라,3,2,4,1,3,1,4,2,1,1,3,1,4,2,3,4,1,4,2,2
46,회계원리,나,2,2,3,1,3,1,3,2,4,3,1,2,4,2,4,1,2,3,4,4
,,라,2,2,2,1,3,4,3,2,1,3,1,2,1,2,4,4,2,3,1,4
47,회계학,나,2,2,3,1,3,1,2,4,3,1,3,1,4,2,3,2,2,4,4,3
,,라,2,2,2,1,3,4,2,4,2,1,3,1,1,2,3,3,2,4,1,3
