문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,⑤,⑤,④,⑤,③,②,⑤,⑤,③,①,③,②,④,①,④,②,②,①,③,①
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,⑤,⑤,②,④,①,①,③,⑤,④,③,①,①,③,②,②,④,④,⑤,④,②
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,③,⑤,⑤,②,④,④,②,③,②,③,①,③,⑤,⑤,①,⑤,①,⑤,①,②
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,④,①,⑤,⑤,②,①,③,③,②,②,③,③,⑤,④,①,①,④,②,①,①
문항,41,42,43,44,45,,,,,,,,,,,,,,,
정답,③,④,②,④,④,,,,,,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,③,①,④,⑤,②,④,⑤,①,③,③,④,②,⑤,①,⑤,⑤,③,⑤,③,④
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,②,①,②,④,,,,,,,,,,,,,,,,
