문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,2,1,2,2,3,4,1,4,1,5,3,3,4,4,5,2,2,1,3,5
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,4,5,2,3,4,4,5,4,2,1,4,3,5,5,1,5,3,1,3,5
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,1,4,2,5,5,3,2,4,2,3,1,4,5,3,5,1,2,1,4,2
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,2,4,1,3,5,1,5,2,5,3,4,3,4,2,5,2,1,4,1,3
문항,41,42,43,44,45,,,,,,,,,,,,,,,
정답,1,5,3,4,4,,,,,,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,1,3,4,4,2,2,5,2,4,5,3,4,3,3,1,2,1,4,1,2
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,3,2,3,5,-34,22,-18,10,95,-18.75,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,1,3,4,4,2,4,5,2,4,5,3,5,3,3,1,5,2,4,3,2
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,3,2,2,5,-34,22,28,15,95,-18.75,,,,,,,,,,
