연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,B,2
2,2
2,3
3,1
4,4
4,3
3,4
1,4
4,1
1,1
4,3
3,4
4,1
1,2
3,3
3,2
2,3
2,4
4,2
2,3
2
,,D,,,,,,,,,,,,,,,,,,,,
2,건축구조,B,2
2,3
3,1
1,3
2,3
3,2
2,1
4,3
3,4
4,1
4,3
3,4
4,1
1,3
2,1
1,1
1,4
1,3
3,2
2,4
1
,,D,,,,,,,,,,,,,,,,,,,,
3,기계설계,B,4
4,4
4,1
1,3
2,3
3,2
2,2
3,1
1,1
1,3
2,4
4,1
1,1
1,2
3,2
2,1
1,2
3,3
3,4
4,4
1
,,D,,,,,,,,,,,,,,,,,,,,
4,기계일반,B,1
1,2
2,4
4,4
1,3
3,2
2,1
4,3
3,1
1,2
3,3
3,1
1,3
3,3
2,2
2,4
4,4
1,1
1,2
2,2
3
,,D,,,,,,,,,,,,,,,,,,,,
5,물리,B,1
1,4
4,3
3,4
1,2
2,3
3,4
1,3
3,1
1,1
4,1
1,2
2,4
4,3
2,4
4,2
2,2
3,3
3,2
2,3
2
,,D,,,,,,,,,,,,,,,,,,,,
6,생물,B,1
1,1
1,3
3,3
2,1
1,4
4,3
2,4
4,4
4,3
2,2
2,1
1,4
4,2
3,2
2,1
1,4
1,3
3,2
2,3
2
,,D,,,,,,,,,,,,,,,,,,,,
7,식용작물,B,4
4,1
1,2
2,1
4,3
3,3
3,1
4,3
3,1
1,4
1,2
2,4
4,3
3,2
3,4
4,2
2,3
2,4
4,1
1,4
1
,,D,,,,,,,,,,,,,,,,,,,,
8,응용역학개론,B,4
4,4
4,3
3,4
1,2
2,2
2,4
1,1
1,4
4,1
4,1
1,2
2,3
3,4
1,3
3,3
3,3
2,2
2,4
4,2
3
,,D,,,,,,,,,,,,,,,,,,,,
9,전기기기,B,1
1,1
1,2
2,2
3,1
1,2
2,4
1,4
4,2
2,3
2,3
3,4
4,4
4,4
1,2
2,3
3,4
1,4
4,1
1,3
2
,,D,,,,,,,,,,,,,,,,,,,,
10,전기이론,B,1
1,2
2,3
3,2
3,4
4,4
4,4
1,2
2,3
3,1
4,3
3,4
4,1
1,1
4,2
2,4
4,1
4,3
3,2
2,4
1
,,D,,,,,,,,,,,,,,,,,,,,
11,측량,B,1
1,4
4,4
4,1
4,3
3,3
3,2
3,2
2,3
3,3
2,1
1,1
1,4
4,2
3,4
4,3
3,1
4,2
2,2
2,1
4
,,D,,,,,,,,,,,,,,,,,,,,
