문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,5,5,1,4,4,3,4,1,2,5,5,1,3,3,5,2,1,4,3,2
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,3,1,2,4,2,3,1,3,1,5,3,4,3,5,1,2,4,3,2,2
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,1,4,2,2,1,4,3,1,4,2,4,3,4,2,2,3,3,2,3,2
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,1,2,3,1,4,4,4,3,5,1,3,1,1,2,3,5,4,5,5,5
문항,41,42,43,44,45,,,,,,,,,,,,,,,
정답,4,2,3,5,3,,,,,,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,2,4,3,1,5,4,2,5,4,2,5,3,3,1,5,1,3,5,1,2
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,2,3,4,1,42,265,35,675,121,342,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,2,4,4,1,4,3,4,2,4,2,5,1,3,1,5,1,3,5,1,5
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,2,2,1,5,22,50,35,24,121,342,,,,,,,,,,
