연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,나,4,4,2,2,3,4,3,1,4,3,2,1,2,4,2,1,4,3,3,1
2,건축구조,나,2,4,1,4,2,3,4,3,1,1,3,2,1,3,2,1,4,4,3,4
3,경제학개론,나,3,4,4,1,2,3,4,2,4,3,3,4,1,4,1,3,1,3,2,4
4,공업화학,나,4,3,3,3,4,1,4,2,2,1,2,4,3,3,4,2,2,3,1,1
5,공직선거법,나,1,3,2,2,3,2,1,3,2,2,4,1,1,4,2,4,2,3,3,4
6,관세법개론,나,4,2,1,2,1,2,4,2,3,1,4,1,1,1,2,3,3,4,4,3
7,교육학개론,나,3,2,1,3,1,2,2,3,4,1,1,4,4,2,1,4,2,3,3,2
8,교정학개론,나,4,1,3,3,4,3,3,3,4,4,2,4,1,2,2,4,1,4,2,2
9,국어,나,3,1,3,2,4,4,1,1,2,4,3,1,2,2,4,3,4,4,2,3
10,국제법개론,나,3,1,3,4,2,4,1,2,4,3,4,3,3,4,2,1,3,2,4,1
11,기계설계,나,1,2,4,3,3,2,2,4,"3,4",3,2,2,4,1,2,3,3,1,2,4
12,기계일반,나,2,1,4,1,4,3,4,3,2,2,2,1,2,3,2,4,4,3,2,3
13,네트워크보안,나,1,3,4,1,3,1,2,3,3,4,2,4,3,1,4,1,2,1,3,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,노동법개론,나,4,4,4,2,1,4,1,3,3,2,3,3,4,4,1,1,1,2,2,2
15,데이터베이스론,나,3,3,1,3,3,2,1,3,2,2,4,4,2,4,3,2,2,4,4,1
16,무선공학개론,나,4,4,3,4,3,1,1,3,2,3,4,2,1,4,2,1,3,4,3,2
17,사회복지학개론,나,4,3,2,4,3,3,2,4,3,1,1,4,1,2,3,2,2,4,3,1
18,세법개론,나,1,4,3,2,2,3,2,3,1,4,2,2,4,1,3,2,3,2,3,1
19,식용작물,나,4,4,1,2,3,1,4,3,3,2,4,1,2,3,1,4,2,3,3,2
20,안전관리론,나,3,4,2,1,4,3,1,1,1,1,2,1,3,3,3,2,4,1,2,2
21,알고리즘,나,2,3,2,1,3,4,3,2,2,2,4,2,1,4,4,3,3,1,3,3
22,영어,나,2,2,4,1,3,4,2,4,4,1,2,3,3,1,2,2,3,3,3,1
23,응용역학개론,나,2,3,3,2,4,3,3,1,4,2,3,1,2,4,4,1,4,2,1,3
24,임업경영,나,3,4,4,4,2,2,4,1,3,1,1,4,2,3,2,3,1,3,4,2
25,재난관리론,나,2,4,4,1,2,3,1,4,3,2,2,4,3,2,3,4,1,2,4,1
26,재배학개론,나,2,3,1,4,4,2,2,3,3,4,2,3,1,4,1,2,3,4,4,3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
27,전기기기,나,3,2,2,4,2,4,3,3,4,1,1,4,1,4,1,3,2,3,4,2
28,전기이론,나,1,4,3,3,1,1,2,4,2,2,3,2,4,2,4,4,3,2,3,1
29,전자공학개론,나,2,2,1,3,2,3,2,2,1,1,4,3,1,4,4,3,3,4,1,1
30,정보보호론,나,1,4,1,4,3,2,4,3,4,1,1,3,2,2,3,3,2,4,4,4
31,정보시스템보안,나,3,4,3,3,1,2,4,4,4,2,1,2,4,1,4,1,1,1,2,4
32,조경계획 및 설계,나,2,3,4,4,2,1,1,1,4,2,3,3,4,2,4,1,2,3,4,1
33,조경학,나,4,3,1,2,2,3,3,3,2,4,3,1,4,1,1,2,3,2,1,4
34,조림,나,3,4,3,4,1,4,4,2,2,1,2,2,3,1,2,3,4,1,4,4
35,직업상담·심리학개론,나,4,1,2,2,4,1,2,4,1,3,2,2,3,3,3,1,4,3,1,4
36,컴퓨터일반,나,1,4,2,4,3,4,3,3,1,3,1,2,4,3,4,1,"1,2",2,1,1
37,토목설계,나,4,2,1,1,3,3,3,1,1,4,4,4,1,2,1,1,3,3,2,3
38,통계학개론,나,1,4,2,4,3,2,4,2,4,1,1,3,2,3,3,4,1,4,3,2
39,한국사,나,1,2,3,4,3,3,3,"1,2",2,2,3,4,4,2,1,4,2,1,1,3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
40,행정법총론,나,2,2,1,4,4,3,1,1,2,3,4,3,2,3,4,1,1,2,1,4
41,행정학개론,나,3,1,2,4,2,3,1,1,2,3,1,4,4,2,2,3,4,3,4,1
42,형법,나,3,2,4,1,2,3,3,1,2,4,4,4,3,3,1,1,2,4,1,1
43,형법총론,나,3,2,4,1,2,3,3,1,2,4,2,2,3,3,1,1,4,4,3,2
44,형사소송법,나,2,3,4,1,4,2,2,2,4,3,4,2,3,4,1,1,3,1,4,2
45,형사소송법개론,나,3,1,4,2,4,2,2,2,4,3,4,2,3,4,1,1,3,1,4,2
46,화학공학일반,나,2,4,3,2,4,4,3,3,4,1,1,2,2,4,3,1,2,1,3,2
47,회계원리,나,1,3,3,3,2,4,3,2,1,4,4,1,2,4,3,4,2,2,2,1
48,회계학,나,1,3,3,3,3,2,2,3,2,1,4,3,1,1,4,4,2,3,2,1
