문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,3,2,2,3,2,2,2,3
정 답,2,4,5,2,1,4,3,1,1,2
문 항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,2,2,2,2,2,2,2,3
정 답,5,5,4,5,5,5,5,3,4,1
문 항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,2,2,3,2,3,2,2,2
정 답,4,5,2,3,4,5,3,2,4,1
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,3,2,2,2,3,2,2,2
정 답,3,2,3,1,4,3,4,2,1,3
문 항,41,42,43,44,45,,,,,
배 점,3,3,2,2,2,,,,,
정 답,2,5,4,2,3 또는 4,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,2,3,2,3
정 답,1,1,5,2,4,4,4,5,1,3
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,2,2,2,2,2,2,2,2
정 답,4,4,4,1,3,5,5,5,1,5
문항,21,22,23,24,25,26,27,28,29,30
배 점,3,3,2,3,2,2,2,2,3,2
정 답,1,2,2,5,5,2,5,3,3,2
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,3,2,2,2,2,2,2,3,2
정 답,3,3,2,1,4,3,3,2,1,2
문항,41,42,43,44,45,,,,,
배 점,3,2,2,3,2,,,,,
정 답,2,3,4,4,4,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,1,3,2,2,1,3,4,1,4,5
문 항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,1,3,5,2,5,3,5,1,3,3
문 항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,270,19,55,37,125,,,,,
