문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,③,⑤,④,⑤,③,⑤,⑤,①,①,③,⑤,①,②,④,②,⑤,③,①,③,②
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,①,②,④,④,⑤,②,④,①,④,③,①,⑤,③,②,④,⑤,⑤,②,④,④
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,3,1,2,1,2,1,2,5,5,3,3,1,4,4,3,4,5,4,3,5
문항,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
정답,3,5,2,2,1,4,3,2,1,4,4,4,2,1,2,2,4,5,4,5
문항,41,42,43,44,45,,,,,,,,,,,,,,,
정답,3,1,1,1,5,,,,,,,,,,,,,,,
문항,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
정답,④,②,①,②,④,⑤,⑤,①,④,②,⑤,③,③,④,②,⑤,③,③,②,⑤
문항,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,
정답,④,⑤,③,①,20,37,13,33,200,72,,,,,,,,,,
