연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,경제학원론,A,2,1,1,3,1,3,3,3,2,1,2,4,4,2,3,2,4,1,2,3
2,국어(한문 포함),A,1,3,3,3,4,2,2,3,2,1,1,4,2,2,2,4,3,4,4,1
3,물리학개론,A,3,2,4,1,4,3,3,1,1,2,3,3,2,4,2,2,4,3,4,2
4,생물학개론,A,2,4,3,4,3,2,3,2,1,4,2,2,1,1,1,2,3,4,2,3
5,영어,A,1,4,4,3,1,1,3,1,2,4,2,2,4,2,3,1,4,4,1,2
6,응용역학,A,3,3,2,4,3,1,3,1,1,4,2,1,1,4,2,4,4,3,2,3
7,재배학,A,1,4,2,3,1,3,4,4,1,4,2,1,4,2,4,3,2,3,2,3
8,지방자치론,A,2,1,3,3,4,4,3,2,4,4,3,2,2,4,3,1,1,1,4,4
9,지역개발론,A,1,1,4,4,3,3,4,3,4,4,1,3,3,2,2,3,2,4,2,3
10,한국사,A,3,3,1,2,4,4,3,4,4,1,2,4,3,3,4,2,2,1,1,2
11,행정법,A,1,2,2,1,3,3,2,2,1,1,4,4,4,3,2,3,1,2,1,3
12,행정학,A,2,4,1,4,2,2,2,1,3,1,1,1,3,4,1,3,2,4,2,3
13,헌법,A,2,3,2,1,3,4,2,1,3,3,1,1,2,2,4,4,3,3,3,2
14,화학개론,A,4,4,4,3,4,3,2,2,1,1,4,3,2,3,3,4,1,4,2,1
