문항,1,2,3,4,5,6,7,8,9,10
정답,①,④,②,④,②,③,③,②,①,②
문항,11,12,13,14,15,16,17,18,19,20
정답,⑤,①,⑤,②,①,①,③,④,①,④
문항,21,22,23,24,25,26,27,28,29,30
정답,⑤,①,③,②,①,③,③,④,⑤,②
문항,31,32,33,34,35,36,37,38,39,40
정답,③,②,⑤,①,④,②,③,④,①,③
문항,41,42,43,44,45,46,47,48,49,50
정답,⑤,⑤,⑤,①,④,②,②,⑤,③,①
문항,1,2,3,4,5,6,7,8,9,10
정답,①,⑤,①,⑤,②,⑤,②,③,④,②
문항,11,12,13,14,15,16,17,18,19,20
정답,①,②,②,①,④,①,⑤,③,②,③
문항,21,22,23,24,25,26,27,28,29,30
정답,⑤,④,①,③,⑤,⑤,④,③,④,③
문항,31,32,33,34,35,36,37,38,39,40
정답,④,④,④,①,②,②,④,⑤,②,②
문항,41,42,43,44,45,46,47,48,49,50
정답,①,②,①,③,④,②,③,③,③,⑤
문항,1,2,3,4,5,6,7,8,9,10
정답,①,③,①,②,⑤,④,②,③,④,②
문항,11,12,13,14,15,16,17,18,19,20
정답,③,④,④,①,⑤,①,⑤,③,④,⑤
문항,21,22,23,24,25,,,,,
정답,③,②,③,②,⑤,,,,,
