연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,나,1,1,4,2,2,3,3,1,2,3,4,1,3,2,3,3,4,2,1,2
2,건축구조,나,2,1,4,1,2,1,4,1,2,2,4,2,2,4,4,3,3,3,3,"1,4"
3,경제학개론,나,2,1,4,1,3,1,2,2,3,3,2,2,2,1,4,2,3,4,4,1
4,공업화학,나,1,4,1,4,4,2,3,3,2,3,1,4,1,4,4,2,2,3,1,4
5,공직선거법,나,3,3,1,2,3,3,1,3,1,4,3,4,3,4,4,4,4,2,1,2
6,과학,나,4,2,1,3,4,4,2,2,3,1,2,3,1,4,1,1,3,4,4,2
7,관세법개론,나,3,2,3,2,3,4,1,2,4,4,4,3,4,3,4,1,1,2,3,1
8,교육학개론,나,3,2,1,4,3,2,4,3,4,4,2,3,1,3,2,3,1,2,2,4
9,교정학개론,나,1,2,3,1,4,2,1,3,1,4,1,3,4,2,2,2,3,4,3,2
10,국어,나,2,3,1,2,4,4,2,2,3,4,3,3,3,1,4,1,2,4,4,1
11,국제법개론,나,2,3,1,2,1,3,1,4,3,4,4,2,3,4,4,3,2,1,1,4
12,기계설계,나,1,3,2,3,2,4,4,1,4,4,4,1,1,3,3,2,2,2,1,2
13,기계일반,나,1,4,2,1,2,2,2,4,1,3,3,3,1,4,4,3,2,2,1,3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,네트워크보안,나,4,4,2,1,3,4,4,1,2,4,2,1,3,1,2,3,3,4,1,2
15,노동법개론,나,4,4,3,3,3,2,2,2,3,2,2,1,1,3,1,3,1,3,1,4
16,무선공학개론,나,3,1,1,2,4,2,3,3,4,4,2,4,1,1,3,1,3,2,2,4
17,사회,나,2,1,4,1,3,3,3,1,4,2,4,1,3,2,4,4,3,3,4,3
18,사회복지학개론,나,3,2,3,1,1,3,4,4,2,2,4,3,3,2,1,3,4,4,2,1
19,세법개론,나,3,4,3,1,2,4,3,4,4,2,1,2,3,2,3,1,4,1,3,2
20,수학,나,1,2,4,1,4,3,2,2,1,1,3,2,3,1,4,2,3,4,3,3
21,식용작물,나,4,2,3,2,2,3,1,2,4,3,1,2,3,3,4,1,3,2,1,4
22,안전관리론,나,2,4,4,4,1,3,4,1,3,4,3,1,1,2,3,1,2,3,2,3
23,영어,나,1,2,2,4,4,2,3,3,4,4,1,2,4,4,2,1,2,3,4,1
24,응용역학개론,나,3,4,3,4,2,1,2,1,4,2,4,4,3,1,2,2,1,2,3,1
25,임업경영,나,2,1,3,4,2,3,1,4,1,1,2,3,4,3,1,1,3,3,2,4
26,재난관리론,나,4,2,1,1,1,3,3,1,4,2,4,3,4,2,3,2,3,4,3,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
27,재배학개론,나,3,1,4,4,3,2,4,1,4,1,2,3,1,2,4,4,4,1,3,3
28,전기기기,나,4,3,1,1,1,2,4,1,1,4,3,2,1,2,3,2,4,3,3,4
29,전기이론,나,3,4,1,2,3,1,4,3,4,1,2,1,2,4,2,4,2,2,2,4
30,전자공학개론,나,2,1,1,2,2,4,3,2,3,4,3,3,3,1,4,1,2,4,4,2
31,정보보호론,나,2,3,1,3,3,4,2,2,3,2,2,1,1,4,2,2,3,4,1,4
32,정보시스템보안,나,1,3,1,3,4,3,3,3,2,4,2,1,4,2,2,2,3,1,2,4
33,조경계획 및 설계,나,1,3,1,3,1,4,2,4,1,2,2,3,4,3,4,3,2,4,1,1
34,조경학,나,4,3,1,1,4,3,3,1,2,2,3,3,4,2,2,2,3,2,1,4
35,조림,나,4,2,2,4,2,1,2,2,2,3,4,1,4,1,3,4,3,3,4,2
36,직업상담·심리학개론,나,2,2,3,4,3,3,2,1,1,4,2,4,1,3,1,2,3,4,3,1
37,컴퓨터일반,나,3,4,2,2,3,4,4,1,2,4,1,3,3,4,4,3,3,1,2,4
38,토목설계,나,2,3,4,3,3,4,2,1,2,1,4,1,4,3,1,3,4,3,2,1
39,통계학개론,나,2,1,2,1,2,1,4,3,3,3,1,4,4,2,1,2,3,3,3,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
40,한국사,나,3,2,3,1,1,4,4,3,3,1,4,3,2,4,2,1,4,2,2,3
41,행정법총론,나,4,1,3,3,3,4,2,1,2,2,4,3,1,4,4,2,2,4,2,3
42,행정학개론,나,3,4,3,4,3,3,2,1,2,3,1,4,4,4,1,1,4,2,2,4
43,형법,나,3,3,2,4,3,1,3,4,3,4,2,4,1,1,3,3,4,2,2,2
44,형법총론,나,3,3,2,4,3,1,3,4,3,4,2,4,4,3,3,2,4,2,1,1
45,형사소송법,나,1,2,4,4,3,2,3,3,4,1,2,1,4,4,3,1,3,4,2,3
46,형사소송법개론,나,1,2,4,4,3,2,3,3,4,1,2,1,4,4,3,4,3,4,2,3
47,화학공학일반,나,1,4,1,1,2,3,3,3,4,2,2,3,4,2,3,2,1,4,1,2
48,회계원리,나,1,2,1,4,2,3,1,3,3,1,3,3,2,4,2,3,4,1,3,2
49,회계학,나,1,2,1,4,2,3,1,3,3,1,4,1,2,4,2,3,2,4,4,3
