문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,3,2,2,2,3,2,2
정 답,①,①,②,③,①,①,①,②,②,④
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,3,2,2,2,2,3,2,2,3
정 답,④,④,③,②,⑤,③,③,②,⑤,①
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,2,2,3,2,2,3,2,2
정 답,②,②,④,②,①,⑤,⑤,①,②,③
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,2,3,2,3,2,2,2,2
정 답,④,④,⑤,③,⑤,⑤,③,③,④,⑤
문항,41,42,43,44,45,,,,,
배 점,2,2,2,2,3,,,,,
정 답,⑤,①,②,③,④,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,2,2,2,2
정 답,③,⑤,⑤,①,③,④,④,①,①,③
문항,11,12,13,14,15,16,17,18,19,20
배 점,3,2,2,2,2,2,3,2,2,2
정 답,①,②,④,④,②,⑤,④,④,⑤,⑤
문항,21,22,23,24,25,26,27,28,29,30
배 점,3,2,2,3,2,2,2,3,3,3
정 답,③,⑤,③,①,④,①,③,②,⑤,③
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,3,2,3,2,2,2,2,2,2
정 답,①,②,③,③,①,⑤,②,②,③,⑤
문항,41,42,43,44,45,,,,,
배 점,2,3,2,2,2,,,,,
정 답,①,②,③,②,②,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3,3,3,3,4,4,4,4,4,4
정 답,④,②,③,④,①,②,③,①,①,④
문항,11,12,13,14,15,16,17,18,19,20
배 점,4,4,4,4,4,4,5,5,5,5
정 답,⑤,③,⑤,④,②,⑤,③,⑤,②,①
문항,21,22,23,24,25,,,,,
배 점,3,4,4,4,5,,,,,
정 답,,,,,,,,,,
